
@RELATION ALGORITHM_RUNS_2013-SAT-Competition

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE fold NUMERIC
@DATA

9a737b5186b82d59c93438efef29982c,1,1
6f166f491fe8364cd5f0565bcd718419,1,1
ae7efad04429b09e42a354e7feec7e56,1,1
3ca59c4aecce9235f21e3501ce846b08,1,1
36b77507f2dd0965489577de5a75a6bd,1,1
34fb3444a4a9354a1c3a0b887c4bbbf0,1,2
0075a6c4c740c6a3ab847df289e8cd83,1,2
3ce330824a9ff4fcf29360576c198d11,1,2
2de5440922dc5f75189302c7c0b293ac,1,2
139c9fe926e0ba8182a176c4580aacc7,1,2
2eab002da110ef37da4307fa7cf721a8,1,3
5fb588574c4c1bc6ce27e37b5549811a,1,3
5be6c2c9504edb35e4d1c4a4dafb187a,1,3
f40a1bc0372fe1353156b8cf4f0c5a7d,1,3
7e4f171be1be72e324f0fad02febaf7f,1,3
9910dbe3d6c03e1351d74271dced8bf7,1,4
e541e772ec47412cdbce0738c606ec4d,1,4
58f51fce855eb8b6e2b2daaaf867510c,1,4
c38d2787a84c065ecea553f5083191f9,1,4
69b130fb6464fe53efe7d5cb6a0ecc7e,1,4
e54a6c0e9f3f6a292cfd775c5daf0171,1,5
af8b6736be8860b8010f0d044f8f1e34,1,5
f003919a5e8ec28bfed0d8bbeafa95a0,1,5
4951467360e06ae1dd4977a617a22cc3,1,5
f7900c1a60c7fc2bca4620fffad9bc8d,1,5
835006a1af7706381dee45e5bc5915fe,1,6
ff8c523ae4d0553d5dafc86a9c8e3741,1,6
bc8471991f245c4d06fc8b1e6ba55f83,1,6
644a8a5544dcf08e36c295cbceb58a3c,1,6
a001034199d2a4c4e28bc5bc63d5cb84,1,6
f0572683cd320dc7e19fd51eee5305e2,1,7
d302985e6147618c47817ce3e5468e03,1,7
d903ee46a69f5ad5b0f5620e4d894c8e,1,7
a3e428f26262a7aa17945f93a4e61d73,1,7
818eaf3f4413130cf813d2a66630d10a,1,7
67541df80cecbe80363c60d272cba5ac,1,8
d38f2bb4377c76390f332839037b479f,1,8
6b5bb556a078f91f66181160b2fea86d,1,8
992311a2c1a3306e64df79e433010f14,1,8
61943a3a3d9ae3cb6b3b7e1076a2e7d4,1,8
7868359c5d96fdfb5d3d415c5bf590d7,1,9
c2a447ad73713e2956923bf17b871e01,1,9
aa976003cd6a208f1f6b03925b00d34e,1,9
fe57aa3e3a0086c7fbf6c8639d5c2276,1,9
3f02858ba2db8f4cb34114bc13756dc7,1,9
472ad09fcae41d6e596bb9f9299a78f4,1,10
1fc9fb7262a97614ab3f25d700eae806,1,10
49eac3f8a95636c9f434b4b536fb8d4b,1,10
75ccd130dba99d083bce1f378c545da3,1,10
06c666c4757cdf97784e97942b9cb358,1,10
