
@RELATION ALGORITHM_RUNS_2013-SAT-Competition

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE fold NUMERIC
@DATA

85b3d4346e5210ab5dcabd07cef5377c,1,1
8e0028e975a7272b5f86f861945937be,1,1
d4b199c7f788d6d9d80557da4119a43b,1,1
ea791e5a3a4ba8b0cb253be7acd1cacc,1,1
b9ae27c146c0ae4c55ba55c71f175143,1,1
21c2bb064684fbdc8912132b4333cb78,1,1
ffbdb969a8781a737dfa758a480f76a4,1,1
20f36c3b1e3cec430bb3e5d8fe6e0e6c,1,1
13337d357a463c07466422371ef75816,1,1
edbb593b8807a106bc5db37e9ae7e9fc,1,1
81574e2188fc0de454b427c3db488e9d,1,1
b940ac640a8013e80b1816492155fe54,1,1
56a0d11d2fc01259a3d3d74c39378227,1,1
3d3dc51add490a40e3cdda6c4fc04cfa,1,2
23409fb118febe3f51b0f335f469b862,1,2
fd935e4ec4d61a3a6dae128a971c654a,1,2
9edbd34d0c72b26b7fe343542aa59785,1,2
09137634a7c4926a2fd4b74b5d52aac2,1,2
00ecb246759c5e8ecc7cf97b75481cee,1,2
2126e6d78cf36119c491dbeed3015ed8,1,2
8e0cd4f9d87601940595436fdb502604,1,2
70431b23c5ce62870e4c4ad3bdf14ea9,1,2
8943fc56ccea5df3af969bfa7c3273cc,1,2
1723daf38f8349f4edbfe430d27fe563,1,2
b171c0adfe6ea75f19415355f1673e59,1,2
34e0e0e4f3f8390af9e4344a50563f23,1,2
f9da8199864a1f0b6d5ac42fe8f14e39,1,3
3c2ad03d8cfc393d4b33393d70f599d3,1,3
096610ea04f9a4aa642ce0c3a764b984,1,3
68fa28547b47d395a751c67d0e518d4f,1,3
b467e0fcc44795f59184c405643f9b29,1,3
dcf9dedf7d1e98e35b2f931e52f229f4,1,3
bb03369b4cefab9368d2bec3ae948def,1,3
72cd7a740a67cb22c231b9d94ebd0dc5,1,3
aea8b88afd57d73575d85a53f0f40b2b,1,3
8bd7ba5101c4f800f9804105c94ba223,1,3
fb52e25345b4280172c65be46097d0a6,1,3
29efb6e13d4f94d7cedfc101fc1f1b90,1,3
bf74316c0b4c7ea09ea6f59fa402a819,1,3
f0a4b1947cd580712b327c6fa78eebce,1,4
82dc1b1f8272ba45e70f1d285f8169cf,1,4
60038181bd8ec9e70e339ad15d362ccc,1,4
ae76fd561030c242f7e1b7b88a47aa60,1,4
a4c3a2a3fccc31edd99b15493c62d457,1,4
32863d031d7ba77d7d367a303729b497,1,4
3d2b3fe858812293f46929c4b839dac6,1,4
88e8820e577f24513faf9a4c36765ea8,1,4
bc5e0ef6d9773944fbf48563d0c1af6e,1,4
2109ef04f3b27b91f7490d69c782bfc4,1,4
7dd1671b7bedfb735bcb17bb37e4027b,1,4
21e358d0b0ee9dfe4a7208f1453cdb4c,1,4
501e89b9b8aaad8f30088923f70ed3b4,1,4
af0a79f1db75f6f6422e446ba6cdb661,1,5
ba7f5377e78a6b6c01a48a81bffaa009,1,5
f2fc2072031682d5d4c4dd212f7f39f5,1,5
f2143db3d37da108ba4d5d8062292f0b,1,5
702d2771173c068af1321837600a7f9f,1,5
210030fc059bbd63f90972e908ba1ddb,1,5
6bbb83ce67aa4d73dbfd499c0b272eb4,1,5
8f508a93fba31d17f2d947cbdb237d8b,1,5
2acbef83d5a34b6fcd4881783fc5f146,1,5
06c8330f95ecb88850eb90a3dcf35f77,1,5
128a190abb7552d7e13485b9f5b7e549,1,5
7b493068aa54304a7251e9fd635d1fd8,1,5
201bf4d413bfbc5fb468d8d3a0e71134,1,5
cd5d3f1dec32adefefa573bcb9ffaff3,1,6
e0a23884499973529af2bd6a7840f0c0,1,6
e2674f7546f5eae266d29e4d6d3768cd,1,6
b5e1fb445c94d4e782435a52dc2377a5,1,6
f6ce379103128ce29f7254a543b66452,1,6
9696daddaa472f0fe5c39b80350411e9,1,6
258331cfa0d24e44474a3886af7e354b,1,6
fc90cef387ee697f2a453e4c737e3ad2,1,6
b30ca7b4c6341b13511ab4f1dc629057,1,6
81ae0e194d9febf428b40c07698e388b,1,6
39751365430cba6b399178f648de53d0,1,6
d871248fc04489978689ca5ec00ae91d,1,6
c72c7389d5649a370691a29b0cd23ca9,1,6
59c7334d37f295b7f68eac9a4ef0d93b,1,7
efd9d9641ec1e201566570e0d422edea,1,7
f4093bacd631ca261fa9f9c222368028,1,7
216cac7e30e0fb395e228eed836fdcba,1,7
e605492f2677be6a618928e58886cb8d,1,7
192d16bddda1e1374e3af37e18a13da4,1,7
8f1224b5a8272588d7a173297958fa4d,1,7
9678975ce46a36d5efe0094530449c06,1,7
82fbe2072d8866da95b3e44b8878cbd0,1,7
606d95d09e95ce689e28fe823849d8f9,1,7
8c35ab4bd84958416819fe667f1fe8de,1,7
ca740f213498ff7ba4d826060470cece,1,7
6b63ac903fcd4a9dd67c453808932bbb,1,7
fc4f8c31e66d14ca2bfe71e97f4ba532,1,8
51d2a4a99bdd751beddf96b46993bdd7,1,8
81e9d9d35649e4c6f88d9a921622bbd9,1,8
62b09b95f1c78c0d052803b4543677bb,1,8
311034882b7e5c9faed106ff64c98be2,1,8
d736726203e76754c4760f89c9e11f63,1,8
fe768483f6c3c2ceffd13ce747ac0c3e,1,8
a7260f81961c6b0b44e97950906c6241,1,8
3066d66f5ffa0eb1ab5327b9844378bf,1,8
fd20da59a060e7eff7335e5173fa4267,1,8
cc416ee8aa2e8b9fd5f06cccc409b29a,1,8
4683d5634f2c95f6e50d2318f2856ec5,1,8
24f03a59746e5962b07db41e349a34a1,1,8
594ebc538a60bef2eb7ec448cdd50368,1,9
