
@RELATION ALGORITHM_RUNS_2013-SAT-Competition

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE fold NUMERIC
@DATA

a14c00732fcd60d2f8416079c6315cd5,1,1
e3acebf7a8b1b7baee676b2504100871,1,1
c1fde8776f334c859cdb281cb0bed488,1,1
b55bae1f323148019db34cc9c08d6b4b,1,1
61f5f3058b749cd913e33ba1bf9fcead,1,1
c7380516182e520bfda807e4d9ed529d,1,1
356667c28689cc2615ddddc6ad11e53e,1,1
971e5d247ffd98140d5d9199460cd7b4,1,1
9fea3b5fddf357019f10d5f61fc8a74b,1,1
a6ff37b0cef2bdd5134de774a2ccfcdd,1,1
8e69ece5afd42db3ce1e7ed475eaaf08,1,1
05e1a93acf56766caa36729883ed69ed,1,1
9c8685614d2fcc8ed75e3df0b278a590,1,1
d77b1e8e85636e2a8e697f0467151b32,1,1
099cc4db78f534b541e03b3d21476677,1,1
964d1ae550e8b1567ec8e3803e14c5da,1,1
947c519055ac35bb731937204fc0d266,1,2
85c2d2f2fd6238e8bf0bbcfd97821631,1,2
d8b978c6119710e61692eb0c8ed59509,1,2
8dbc47c71dc08cbc8ffa4bf3b92aa057,1,2
a1d4e09d3abf0a4eca987babbe1df4ca,1,2
21ba7bf1bed51e1d4137a5d2b4095413,1,2
62e2738034d51eb1ca2518ead10bb1b8,1,2
f019c54ca541e1449e1424c6aa46d35e,1,2
867c000858982af2c7444466a304af04,1,2
a37d28d43d69aa0103e8f6c03a25328d,1,2
d0bc402d6d4e2f421314981899e705da,1,2
accc739b7443ee6f6c986b29106d30b2,1,2
b366bbc99f4b12f6958260432db8f433,1,2
d52ad8a9dee13cb147c0b0d6d29d8a1a,1,2
45f3b2d841eff242a2cd183a0c58dc4d,1,2
876c6467204e8ca8aabecbfbd3b45139,1,2
9d8011d62fbdace0c9682b0a56eb9c1a,1,3
f96e501784f98c21890b02a2712e89bd,1,3
e132556b0d38151640e92d05691dbdbe,1,3
7b5860221ac4bf880739e34b36b6d1fb,1,3
d8e0991db153700fc6f942a70d96d0d8,1,3
be934c0585611c7f00126ccfde3651ad,1,3
62e0a8d6f7569c04cf8f5f709636e77e,1,3
8fafcc4984fc93de8a9182509b2a0a65,1,3
c73e9bafac569591c4ea47d45cfac20c,1,3
573a8627b23c29141b9965518a1ea628,1,3
c561707c3f0ff054acd49c4f7f7f9eae,1,3
2cf01039b19cea84eef8c942aea32605,1,3
f09afe8bb1fa94a49596406bf88166c9,1,3
ea7bd7600bcbe337da419744986a2765,1,3
4ee13ffb8d0ec1ceaf1bb37447281f58,1,3
94211d2a9b412d1df1f93eb8fa322afa,1,3
44fed91bbf02c3af539328e6662bf914,1,4
5270155d690360dab58e1b470ef17ea7,1,4
ceb1794b37ee7a46798c6a75e6be96ab,1,4
36fc98d1195ddc35e5ef9eb80f9a3178,1,4
9feb6f2064b86f090bb3887f069a4d0d,1,4
3d9e7b6df6df75811f47376afe3f163c,1,4
f77193d98d97a8df35aba3d3d50b907e,1,4
f0b6a6311818b4dd8f5227b40762bd4a,1,4
b24ff19d000a151b6659a6c65e6c35c6,1,4
37f39e77e4ab35860e338849791d985b,1,4
9a031fb141138ee9bc8fad2cc059ee0e,1,4
5acf53328f53703eb5ee3288a3efea11,1,4
c0cc3cb80752c8cae8a567aa7598d4aa,1,4
d0799a9d39f0850315a55b0ab4917638,1,4
f3f514a91e7728b0df10399e56f94206,1,4
62b5368b71f5a58af6d0df94093218da,1,4
f607d46ec11afe04a6635e1e747bca97,1,5
a78197c32b5c06c92ee4f6e438ee3962,1,5
86aef175e49750375aaf5bf4f54ac0c2,1,5
5aa281057d97f045673ea5f22f4a03c2,1,5
23179b628ad596b0808644865ee42008,1,5
38650beb2ce576c812a3ef6ac5621787,1,5
3cadb3807e2a210325a234888d281fbd,1,5
fece5a92f820b73659733b9639b82885,1,5
982f07b05aa788dcb221cf0f46a98a28,1,5
8ee114f3baa9833ce2ff8acd1c2f17dc,1,5
411eb8af67a987b6d330a3f7c487347c,1,5
a6fb6cef21abb3da58a08c431abe1820,1,5
ba4c3b35debdf0cbd1cf9beea46e68ac,1,5
9847d0c027bbaccb1847a48fd98a95ac,1,5
10049dd55bf99f7dbc88dc007745262f,1,5
55b26376914ebad092e2e305df354383,1,5
ffb2d731edec22edde6bc403f6c68136,1,6
9038037b7d7e09779716658ee51f043a,1,6
3a224236b6b589e9f8161cb41fb64421,1,6
c0ddd6d536dd36939b31e12d969323ca,1,6
400673ca8ff3edef3535b5791da29758,1,6
1a9658e08918a7701123bae3cad3fdfa,1,6
5f169f8946c848c062a4dd468eb064c1,1,6
e5fa51f4b48f9d73b966b1eb0389e73c,1,6
1ec21c7d8e15d35901cd608efade836b,1,6
82716a7451af0bb025940cb2be8712d2,1,6
222abd76a7db47e3d5cbf580e108b101,1,6
7c50c2c12e2aac2541da57a3aad7ca55,1,6
8b3ad6188dc92a4335827c8e01628c0f,1,6
589bbf864478462408d49f56b3acebc9,1,6
d6dbb131b6c4096427e3cdbc24174d58,1,6
3631b5ebf342811f42ca903194874739,1,6
b6b46bc646920ea1298e9f12b19fab10,1,7
813211425de754d47420bda81be7c3af,1,7
5a074a62937cbcb2e921ae7f17a0123b,1,7
53a3b10a6d39a1f0633d42a0b8cc93a7,1,7
2389afb57cc1c7542bfddc76320706af,1,7
da23055718a39734c4c353a6c30d342b,1,7
85b90a483e5d2ab64757532083d99628,1,7
4fb489f83300339f94af01b969c1f325,1,7
f48c0154c055dd2d9e427d94e5cc96fd,1,7
92f07d9616904178c202cd6d7e0ae97d,1,7
6074526f967671a9c7cc808bdb4dbadb,1,7
ecf255cfa79dc1390125d72e88196842,1,7
ea9e2588afe4504c0be19561db25ccfd,1,7
7ee038a2d306328bf29f3cc3ddd33ea0,1,7
bb83bd2588db308f9da59945e9f53761,1,7
928666ecc0a7811fd6c441352737063c,1,7
3202e56149cbd27d0de3bdbd879f81e3,1,8
638c867046eca01fa57da212f4a82591,1,8
ba49f12ab41d4271c475e4948758589d,1,8
f2209196093db16c0e1ccffc86fe7af3,1,8
a2bb37bd1970b7fe11a8b59cb1f3a6f3,1,8
55af68f15fe32e43da610c5d90806a4a,1,8
fc2d899db36a3003ebbcd92cad9223b0,1,8
291d875a60416791f305122ac9d8b34d,1,8
53797da70b0cf5f28e45644f5fda249f,1,8
880c13fc9e1ae18f82e743ba707577a8,1,8
5c79d1d9a7223b0aa7f24b9abb13ee2f,1,8
3c59340fb353a585970ae15583e52dc2,1,8
f6a9922fc219371dd62d3d64f513f435,1,8
3df40218b019eea866b53a1349c0d0e2,1,8
b7c1926b06d5191f5f23b3654f7eea8a,1,8
ebfb38d0b486754d6704faf1ad393db8,1,8
73a51090daaf16aa8d614ff285bfb6e4,1,9
a38985b17ca7f54344b29181a8584654,1,9
9f516f1949bb094c061b924b07b9239e,1,9
96344359b1d56ff7726ed1408e74685f,1,9
40381a7c5087f4ca968ce41333deeb15,1,9
f8df5f5150968e8beed02c87bc2ab666,1,9
2c863ef862f94f5be37b35a0e4c17156,1,9
0faee3ca8e450721dd5b73cb48656439,1,9
80402835d130022a9820ca0328640cdb,1,9
902f37d04b6af4dd50620fbce6af0b97,1,9
7c8d5058b5b148685018d3330ac42f68,1,9
d62c2a52625c21dd4bc4370bcd02db43,1,9
97b29b11b39e49b80f3ff828f7a4f470,1,9
af0a6d4f3f8e41dd411ac993d1c5e5ad,1,9
3516b948e6368c1e04e766cb3dbf658f,1,9
056d65a7bb6760a4c29fabc08869fd2b,1,9
bebd2cfe5e0562ebe11dc365507fd898,1,10
b1fed41c662b810a67f17347ca208a34,1,10
8918e76cfcec0657c7d7950a1794604c,1,10
5fef6050cdd12ec4963b342a00b8769f,1,10
2b9f5024001a051a59314cacbe0b17e8,1,10
ff29c8f9c07b239fedaec27dbf4ce49d,1,10
a41351309b1ab4b5310538c23b8dec0e,1,10
86d0a459cbac55d6b0ecb8de1373f318,1,10
911e1a0f8b4680f2864fa59b12973cad,1,10
